CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)OC(CC(=O)O)C[N+](C)(C)C
C1=CC(C(C(=C1)C(=O)O)O)O
CC(CN)O
C(C(=O)COP(=O)(O)O)N
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
CCN1C=NC2=C1N=CN=C2N
CCC(C)(C(C(=O)O)O)O
C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
C(CCl)Cl
C1=C(C=C(C(=C1O)O)O)O
C1=CC(=C(C=C1Cl)Cl)Cl
CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
C1CCC(=O)NCCCCCC(=O)NCC1
C1C=CC(=NC1C(=O)O)C(=O)O
C(C(C(C(=O)C(=O)C(=O)O)O)O)O
C1=CC(=C(C(=C1)O)O)C(=O)O
C1=CC(=C(C(=C1)O)O)CCC(=O)O
CCC(C(=O)C)(C(=O)O)O
CC(=O)C(C)(C(=O)O)O
C(=CC(=C(C(=O)O)N)C(=O)O)C=O
C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O
C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O
CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O
C(=CC(=O)O)C=C(C(=O)O)N
C(=O)C(C(=O)O)N
C(=CC=O)C=C(C(=O)O)N
CC(CO)(C(COP(=O)(O)O)O)O
C(=CC(=O)O)C=C(C(=O)O)C(=O)O
C(C=O)Cl
C(CCl)O
C1=CC(OC1=O)(CC(=O)O)Cl
CC(C)C(C(C(=O)O)O)C(=O)O
C(C(C(CO)O)O)C(=O)C(=O)O
CC(C)(CO)C(=O)C(=O)O
CC1(COC(=O)C1=O)C
C1C(C(C(OC1O)CO)O)O
CSCCC(=O)C(=COP(=O)(O)O)O
C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O
C(CC(=O)O)C(C(=O)O)O
C(C(=O)O)(C(=O)O)O
C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
CCC(C)C(=O)C(=O)O
C(CC(=O)N)C(=O)C(=O)O
CC(C)C(=O)C(=O)O
C(C(C(C(C(=O)C(=O)O)O)O)O)O
C(CC(=O)O)C(=O)C(=O)O
CCC(=O)C(=O)O
C(C(C(=O)O)OP(=O)(O)O)O
C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
C1=C(C(C=C(C1O)Cl)Cl)Cl
CC(CC(C(=O)O)N)N
C1=C(C(C=C(C1O)Cl)O)Cl
C1=C(C(=CC(=C1Cl)O)Cl)O
C1=CC(=C(C=C1Cl)O)Cl
C(C(=O)C(C(C(=O)C(=O)O)O)O)O
CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO
CC(=O)C=CC=C(C(=O)O)O
CC(C)CC(=O)C(=O)O
C(CC(=O)C(=O)O)CC(=O)O
C1=CC(=C(C=C1C(=O)O)O)O
